1941,"1941反击战","1941: Counter Attack (World 900227)",
1941j,"1941反击战日版","1941: Counter Attack (Japan)",
1941r1,"1941反击战世界版","1941: Counter Attack (World)",
1941u,"1941反击战美版","1941: Counter Attack (USA 900227)",
1942,"1942空中大战","1942 (Revision B)",
1942a,"1942空中大战修正版A","1942 (Revision A)",
1942abl,"1942空中大战修正版A","1942 (Revision A, bootleg)",
1942b,"1942空中大战初版","1942 (First Version)",
1942c64,"1942空中大战C64音乐版","1942 Air Battle C64 Music Version",
1942h,"1942空中大战增压版","Supercharger 1942",
1942p,"1942-空中大战","1942 (Tecfri PCB, bootleg?)",
1942w,"1942空中大战WE授权","1942 (Williams Electronics license)",
1943,"1943中途岛海战","1943: The Battle of Midway (Euro)",
1943b,"1943中途岛海战第1套","1943: Battle of Midway (bootleg, hack of Japan set)",
1943b2,"1943中途岛海战盗版第2套","1943 Midway Battle Bootleg Set 2",
1943bj,"1943中途岛海战","1943: Midway Kaisen (bootleg)",
1943j,"1943中途岛海战日版修正版B","1943: Midway Kaisen (Japan, Rev B)",
1943ja,"1943中途岛海战日版","1943: Midway Kaisen (Japan)",
1943jah,"1943中途岛海战日版未保护修改版","1943: Midway Kaisen (Japan, no protection hack)",
1943jaha,"1943中途岛海战日版未保护修改版替换版","1943 Midway Battle Japanese Unprotected Modified Replacement Version",
1943kai,"1943改中途岛海战日版","1943 Kai: Midway Kaisen (Japan)",
1943mii,"1943中途岛海战标记版II美版","1943: The Battle of Midway Mark II (US)",
1943u,"1943中途岛海战美版修正版C","1943: The Battle of Midway (US, Rev C)",
1943ua,"1943中途岛海战美版","1943: The Battle of Midway (US)",
1944,"1944征服世界","1944: The Loop Master (Euro 000620)",
1944ad,"1944征服世界火力加强版","1944 Conquest of the World Firepower Enhanced Edition",
1944d,"1944征服世界美版凤凰版","1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)",
1944da,"1944 - 征服世界 (美版 000620 凤凰版) ( 替换版)","1944: The Loop Master (US Phoenix Edition) (Replacement Version)",
1944fp,"1944 - 征服世界 (火力加强版 2011-12-31)","1944: The Loop Master (Firepower Enhanced Edition 2011-12-31)",
1944j,"1944征服世界日版","1944: The Loop Master (Japan 000620)",
1944s01,"1944 - 征服世界 (最强火力)","1944: The Loop Master (Maximum Firepower)",
1944u,"1944征服世界美版","1944: The Loop Master (USA 000620)",
1945kiii,"1945改III(新版OPCX2PCB)","1945k III (newer, OPCX2 PCB)",
1945kiiin,"1945改III(新版OPCX1PCB)","1945k III (newer, OPCX1 PCB)",
1945kiiio,"1945改III(旧版OPCX1PCB)","1945k III (older, OPCX1 PCB)",
19in1,"19合1mame未授权","19 in 1 MAME bootleg (BAR-V000)",
19xx,"19XX命运否决战","19XX: The War Against Destiny (Euro 960104)",
19xxa,"19XX命运否决战亚版","19XX: The War Against Destiny (Asia 960104)",
19xxar1,"19XX命运否决战亚版1","19XX: The War Against Destiny (Asia 951207)",
19xxb,"19XX命运否决战巴西版","19XX: The War Against Destiny (Brazil 951218)",
19xxd,"19XX命运否决战美版凤凰版","19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)",
19xxh,"19XX命运否决战火力加强版","19XX: The War Against Destiny (Hispanic 951218)",
19xxj,"19XX命运否决战日版","19XX: The War Against Destiny (Japan 960104, yellow case)",
19xxjr1,"19XX命运否决战日版1","19XX: The War Against Destiny (Japan 951225)",
19xxjr1c,"19XX命运否决战中文版","19XX Fateful Decisive Battle Chinese Version",
19xxjr2,"19XX命运否决战日版2","19XX: The War Against Destiny (Japan 951207)",
19xxjrs01,"19XX - 命运否决战 (中文版)","19XX: The War Against Destiny (Chinese Version)",
19xxs01,"19XX - 命运否决战 (EX超级版)","19XX: The War Against Destiny (EX Super Edition)",
19xxu,"19XX命运否决战美版","19XX: The War Against Destiny (USA 951207)",
19yy,"19YY警长射击(NeoCD转换)","19YY Sheriff Shooting (NeoCD Conversion)",
1on1gov,"一对一","1 on 1 Government (Japan)",
2020bb,"2020超级棒球","2020 Super Baseball (set 1)",
2020bba,"2020超级棒球第2套","2020 Super Baseball (set 2)",
2020bbcd,"2020超级棒球第4套","2020 Super Baseball Set 4",
2020bbh,"2020超级棒球第3套","2020 Super Baseball (set 3)",
20pacgal,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)",
20pacgalr0,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)",
20pacgalr1,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)",
20pacgalr2,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)",
20pacgalr3,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)",
20pacgalr4,"吃豆女精灵/大蜜蜂1981年二十周年经典重聚版","Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)",
24cdjuke,"Midcoin点唱机24CD","Midcoin Juke Box 24CD",
25pacman,"吃豆人-25周年纪念版修正版3.00","Pac-Man - 25th Anniversary Edition (Rev 3.00)",
25pacmano,"吃豆人-25周年纪念版修正版2.00","Pac-Man - 25th Anniversary Edition (Rev 2.00)",
280zzzap,"赛车道280","280-ZZZAP",
2mindril,"二分钟冲刺","Two Minute Drill (Ver 2.93A 1994/02/16)",
2spicy,"双辣","2 Spicy",
30test,"30个测试","30 Test (remake)",
39in1,"39合1mame未授权","39 in 1 MAME bootleg (GNO-V000)",
3bagflnz,"3袋全满连连乐","3 Bags Full (3VXFC5345, New Zealand)",
3bagflvt,"3袋全满连连乐","3 Bags Full (5VXFC790, Victoria)",
